岗位描述,技术栈
***非外包公司，2014年成立至今***公司网址：www.wit66.com不压工资，不设上限，看能力说话，页面标志工资可谈有余地！！！岗位职责：1. 负责公司产品的设计、开发和维护工作；2. 参与系统架构、模块设计和文档编写，能独立完成模块的设计、编码；3. 参与 to G（政府及事业单位）项目新技术或新功能的预研。任职资格：1、本科及以上学历，计算机相关专业；2、5年及以上相关工作经验；3、精通.net开发、C#6及以上，熟练.NET CORE 2.0及以上、MVC4及以上、依赖注入、异步编程、EF-CodeFirst模式，Lambda表达式LINQ，会使用委托、反射及多线程。4、精通Sql Server、MySQL、Oracle至少一种，熟悉大型数据库的数据库管理；5、沟通及协调能力强，有一定的团队意识及团队协助能力，品行端正，责任心强。,"技术栈：

1. .NET
2. C# 6 及以上
3. .NET CORE 2.0 及以上
4. MVC 4 及以上
5. 依赖注入
6. 异步编程
7. EF-CodeFirst 模式
8. Lambda 表达式
9. LINQ
10. 委托
11. 反射
12. 多线程
13. Sql Server
14. MySQL
15. Oracle"
"要求：非常熟悉c#或vb.net，对gis,cad,bim二次开发熟悉的优先","技术栈: 

1. C#
2. VB.NET
3. GIS
4. CAD
5. BIM"
"任职资格:1.全日制统招本科或以上，计算机、软件工程及相关专业；2.正直诚实、工作认真细致、反应迅速、有责任感，能够承担较大的工作压力；3.思维清晰敏捷，逻辑能力强，良好的口头和书面表达能力。 4.3年以上ASP.NET（C#）项目开发经验，精通ASP.NET、C#，熟悉网络通讯协议,了解网络编程;参与过大型应用,项目或产品的开发；5.精通SQL Server ，熟悉存储过程、触发器、视图、函数等；熟悉MSSQL数据库的设计,优化; 7.精通JavaScript、Ajax或者JQuery,json；有基于百度地图,腾讯地图等的相关开发优先;8.承担开发主力，善于与其他同事协同工作、极强的学习能力，思维灵活；9.具有良好的编程风格，代码编写严谨，熟悉SQL注入防范","技术栈：

1. ASP.NET
2. C#
3. SQL Server
4. JavaScript
5. Ajax
6. JQuery
7. json"
岗位职责：1、组织评审并实施设计方案，完成图纸绘制、跟进结构件开模；2、主导新产品的测试及验证工作，对产品出现的结构问题进行及时分析并提供解决方案，输出测试报告；3、根据需求对产品结构设计进行持续改进与优化；4、输出、核对产品结构BOM，配合其他部门的成本核算并积极采取措施控制产品成本；5、编写相关技术支持文档及生产装配指导，完成相关产品图纸的绘制、发放、归档工作；6、领导交办的其他工作任务。7、根据客户需求设计结构方案，负责新产品外观及结构设计相关工作；任职要求：1. 机械设计、机电一体化专业或者自动化专业，专科以上学历；2. 需5年研发结构设计工作经验，2-3年以上LED显示屏结构设计经验；3. 熟悉产品外观、结构，熟悉机械加工、材料、表面处理、各类标准件应用等相关知识；了解塑料模具及其制造、加工工艺，熟悉外壳防护标准及其设计应用；4、具备独立设计能力，具备独立解决问题的能力，有较强的创新意识；；5.熟练使用PROE\AUTOCAD\PHOTOSHOP等设计软件；6.熟悉LED行业，有LED显示屏产品开发经验者优先。,"技术栈：

1. PROE
2. AUTOCAD
3. PHOTOSHOP"
岗位职责1、负责公司智能设备和物联网产品的上位机软件研发和维护工作；2、协助搭建公司的MES工厂系统，研发相关后台和工具；3、参与软件需求分析，模块设计，代码编写，单元测试等工作；4、相关文档编写。任职要求1、本科及以上学历，计算机或相关专业；2、 熟悉使用C#或 .NET进行windows平台软件开发；3、 了解任意一种通信方式：UART串口通信、TCP/UDP、Socket通信、Modbus；4、了解任意一种常用数据库：SQLite/SQL Server/MySQL;5、工作严谨细致，逻辑清晰，具有较强的团队合作精神；6、有作品者欢迎带上作品演示。,"技术栈: 

1. C#
2. .NET
3. UART
4. TCP/UDP
5. Socket
6. Modbus
7. SQLite
8. SQL Server
9. MySQL"
"Net金融前台工程师职位信息1.负责与公司证券业务相关的前台交易以及大单交易系统开发2.负责对现有系统进行性能优化，新功能需要的设计实现任职要求：1、2年以上工作经验有关VB.NET , C#.Net, Oracle 应用开发, PL/SQL 和 一些报表工具 ;2、需要具备多线程编程,Socket编程及事件驱动编程经验；3、过往有复杂业务技术流程设计的优先;4、有证券前台开发经验者优先;","技术栈: 

1. VB.NET
2. C#.NET
3. Oracle
4. PL/SQL
5. 报表工具（未指定具体工具）
6. 多线程编程
7. Socket编程
8. 事件驱动编程"
后端开发岗位！前端和测试岗勿投！岗位要求：1、计算机及相关专业大专及以上学历，有两年以上基于.NET实际开发经验；2、熟悉.NET Framework框架，熟练使用Visual Studio，能独立开发项目；3、熟悉sql数据库，熟练使用数据库的视图、存储过程、触发器等各种数据库功能；4、熟悉JavaScript、Ajax、jQuery、HTML5、CSS3、XML、JSON等相关技术；5、具备良好的逻辑思维和分析能力，学习能力良好，有良好的团队意识，责任心强；6、拥有根据用户需求独立设计和开发功能模块的能力，具备至少一个完整的项目研发经验（会软硬件 或者有做过APP商城经验优先）。7、精通前后端技术的优秀人才，待遇可谈。岗位职责：1、熟悉微信平台接口及微信小程序、微商城功能研发；2、根据项目需求，完成功能的开发工作，并快速修复代码的BUG，以保质、保量、按时提交需求处理结果；3、 审核自己所负责实现功能的测试用例，反馈不合理设计和完善建议；4、 独立开发能力强、沟通能力强、工作认真负责、能够承受工作压力、具有团队合作精神；5、 完成领导交办的其他工作。公司薪酬福利：1、福利待遇：社会保险按规定为员工购买社保（养老、医疗、失业、工伤、生育）；2、有薪假期：法定节假日、婚假、生育假、陪产假等有薪假期；3、节日慰问：端午节、中秋节，公司将发放员工节日福利；4、团队氛围：不定期下午茶、外出旅游、聚餐、文娱活动（团队文体活动、春节联欢、拓展训练等）；5、晋升空间：良好发展空间，多元化职位晋升通道，公司优选内部员工竞聘各空缺职位，能力决定你的高度；公司薪酬福利：风里雨里，我在域网等你，域网大家庭欢迎你的加入！工作地址：深圳市龙华新区工业路龙胜大厦5楼506,"技术栈：

1. .NET Framework
2. Visual Studio
3. SQL
4. JavaScript
5. Ajax
6. jQuery
7. HTML5
8. CSS3
9. XML
10. JSON"
"岗位职责： 1、按照规范、需求和设计文档完成编码工作，并对代码质量负责 2、根据需要参加各阶段的评审工作，有很好的业务理解能力 3、对自己开发的程序进行单元测试和行为测试，确保程序质量 4、能够跟上项目开发进度，能按期交付开发成果基本要求： 1、大学毕业一年以上，熟悉.NET平台，有1年以上使用.NET平台进行软件开发的经验。 2、熟悉SQLSERVER数据库，能熟练进行数据库编程 3、逻辑思维能力、学习能力强，拥有良好的职业素质，能快速适应新的工作模式 4、同时拥有B/S、C/S程序开发经验者优先公司将为员工提供优厚的福利待遇： 1、五天工作制，享受法定节假日和带薪年休假2、为员工缴纳社保，定期健康体检，组织员工外出旅游 3、提供家一样的工作环境,公司设立每日下午茶时段，员工可享受公司提供的免费下午茶茶点4、为各类岗位持续提供各种提升机会,实现员工自身发展5、年终奖金丰厚在华通易点，您可以在快乐的氛围中工作，在工作中获得快乐，良好的职业发展空间和快乐的团队，等待您的加入！~","技术栈: 

1. .NET
2. SQLSERVER"
"1、熟悉HTTP、WebService、WCF、RPC、WebSocket等协议2、熟悉软件工程，掌握面向对象分析与设计方法；3、熟悉.NET平台技术（C#、Winform、WPF等）4、有winform,wpf相关的使用经验优先5.熟悉TCP/IP通讯协议6.熟悉VS2010 IDE工具使用，熟悉SVN版本库使用","技术栈: 

1. HTTP
2. WebService
3. WCF
4. RPC
5. WebSocket
6. C#
7. Winform
8. WPF
9. TCP/IP
10. VS2010
11. SVN"
办公地点：深圳宝安区工作年限：6年以上学历：本科以上学历薪资范围：20K~25K岗位职责：1、负责系统架构设计，满足产品要求；2、负责确定项目核心技术和产品选型，协助开发团队解决项目开发过程中的技术难题；3、负责软件高层设计、模块划分、接口定义、负责或参与核心代码的编写工作；4、参与开发流程规范和制定，参与Devops流程设计。岗位要求：1、统招本科及以上学历，6年以上C#、B/S架构设计和开发经验；2、精通.net体系相关技术，包括C#、Asp.net MVC、Asp.net WebAPI、EF Core等技术；3、熟悉微服务架构，并由相关设计经验；4、精通rabbitmq、redis、kafka等中间件，至少深入研究过其中一种源码，具备调优能力；5、熟悉vue、js等前端框架和技术；6、熟悉Mysql数据库，并有数据库优化经验；7、熟悉分布式服务框架，有实战经验，精通大流量、高并发、高性能的分布式系统的设计及应用，擅长性能调优者优先；8、有良好的设计文档编写能力；9、根据产品开发规范，完成相关技术文档编写；10、熟悉Linux服务器环境搭建和部署，Nginx等组件;11、有vue+elementUI后台管理系统开发经验、 有erp、wms、智能织造（织机数字）相关开发经验的优先的优先考虑。,"技术栈：

1. C#
2. Asp.net MVC
3. Asp.net WebAPI
4. EF Core
5. RabbitMQ
6. Redis
7. Kafka
8. Vue
9. JavaScript
10. Mysql
11. Nginx
12. ElementUI
13. Linux"
岗位职责：A：综合能力：1、两年或以上工作经验；2、有良好的沟通和团队合作能力；3、能跟需求人员沟通并深入了解业务需求；4、逻辑能力强，工作细心认真，有精益求精的工作态度；5、性格乐观开朗，能承受压力者佳。 B：技术能力：1、熟悉c#开发，会熟练使用Visio Studio等开发工具；2、有web开发经验，熟悉html，javascript和css等前段开发语言；3、会使用常见主流数据库例如Sqlserver等，熟练使用SQL语句进行数据库操作；4、对技术热爱，有专研精神；5、有过业务管理系统（后台系统）开发经验者优先。6、熟悉企业ERP管理、供应链贸易、金融类系统模块开发经验优先。,"技术栈：

1. C#
2. Visio Studio
3. HTML
4. JavaScript
5. CSS
6. Sqlserver
7. SQL"
岗位职责：1、负责项目的需求设计和核心代码开发，并持续提升产品的用户体验；2、高效率高质量完成开发工作，解决技术难题，对产品提出创新点并落实改进；任职要求：1、计算机软件或者相关专业，本科及以上学历；2、有较强的设计和编码能力，能培训项目成员提升设计和编码技能；3、熟练应用Asp.NET、.NetCore、MVC、WebAPI、EF、JQuery、JavaScript、HTML、CSS3、bootstrap、Layui、Vue 等相关技术，并有较强的用户体验设计能力；4、精通一种以上数据库，有深厚的数据库设计和优化经验；5、熟练应用C# WinForm进行C/S 程序设计；6、精通面向对象程序设计、多线程编程、Socket通信及其调优；7、熟悉互联网高并发开发，熟悉MQ、Redis等技术；9、熟悉常见的算法、设计模式，多线程与进程编程；10、有大数据开发经验优先；11、熟悉MQTT、Protobuf等协议开发优先；12、熟悉微信公众号、小程序前端开发优先；熟悉UniApp开发优先；13、对行业应用软件有独到的见解优先；14、有8年以上工作经验，熟悉开发流程，有良好的设计思路和编程习惯；有敏捷开发经验优先；15、有较强的自学能力，能够快速接受并掌握新知识；英语四级以上，能熟练阅读英文文档；16、有过硬技术能力，能啃硬骨头，敢于面对和克服困难，具有较强的分析和解决问题的能力；17、具有团队合作精神，有责任感，对工作认真负责，有一定的协调和沟通能力。,"技术栈：

1. Asp.NET
2. .NetCore
3. MVC
4. WebAPI
5. EF
6. JQuery
7. JavaScript
8. HTML
9. CSS3
10. bootstrap
11. Layui
12. Vue
13. C#
14. WinForm
15. MQTT
16. Protobuf
17. Redis
18. UniApp

Note: Some of the requirements are not directly related to technical stacks, but rather to soft skills, experience, and personal qualities. The above list only includes the technical stacks mentioned in the job requirements."
